"Songname","Artist","Album","Time","Id"
# THIS FILE CONTAINS ALL SONGS IN iTunes
# Aug 29 2014
######################################################
# 			All SONGS
#######################################################
# (1) This file can be very sensitive to errors.
# (2) note, that there is no space after a comma
# (3) all entries are strings except time which is a float
# (4) we need to explicitly write code to ignore the commented lines
#######################################################
# Rave Tapes by Mogwai
"Heard about you last night","Mogwai","Rave Tapes",5.24,1
"Simon Ferocious","Mogwai","Rave Tapes",4.49,2
"Remurdered","Mogwai","Rave Tapes",6.26,3
"Hexon Bogon","Mogwai","Rave Tapes",2.36,4
"Repelish","Mogwai","Rave Tapes",3.56,5
"Master Card","Mogwai","Rave Tapes",3.58,6
"Deesh","Mogwai","Rave Tapes",5.34,7
"Blue Hours","Mogwai","Rave Tapes",6.18,8
"No Medicine For Regrets","Mogwai","Rave Tapes",5.41,9
"The Lord Is Out Of Control","Mogwai","Rave Tapes",4.23,10
#
# () by Sigur Ros
"Vaka","Sigur Ros","()",6.38,11
"Fyrsta","Sigur Ros","()",7.34,12
"Samskeyti","Sigur Ros","()",6.33,13
"Njosnavelin","Sigur Ros","()",7.33,14
"Alafoss","Sigur Ros","()",9.57,15
"E-bow","Sigur Ros","()",8.48,16
"Daudalagio","Sigur Ros","()",13.00,17
"Popplagio","Sigur Ros","()",11.45,18
#
# Greatest Hits by Foo Fighters
"All My Life","Foo Fighters","Greatest Hits",4.24,19
"Best Of You","Foo Fighters","Greatest Hits",4.15,20
"Everlong","Foo Fighters","Greatest Hits",4.10,21
"The Pretender","Foo Fighters","Greatest Hits",4.27,22
"My Hero","Foo Fighters","Greatest Hits",4.19,23
"Learn To Fly","Foo Fighters","Greatest Hits",3.55,24
"Times Like These","Foo Fighters","Greatest Hits",4.28,25
"Monkey Wrench","Foo Fighters","Greatest Hits",3.51,26
"Big Me","Foo Fighters","Greatest Hits",2.12,27
"Breakout","Foo Fighters","Greatest Hits",3.21,28
"Long Road To Ruin","Foo Fighters","Greatest Hits",3.48,29
"This Is A Call","Foo Fighters","Greatest Hits",3.53,30
"Skin And Bones","Foo Fighters","Greatest Hits",4.02,31
"Wheels","Foo Fighters","Greatest Hits",4.38,32
"Word Forward","Foo Fighters","Greatest Hits",3.47,33
"Everlong (Accoustic)","Foo Fighters","Greatest Hits",4.11,34
